NC,ponderab,edad,edadr,sexo,dep,prov,dist,macrozona,zona2,ambito2,zonali1,zonali2,region,ur,ambito,hogar,hijos18,edu,edu2,edupadre,edupadre2,edumadre,edumadre2,origen,ocupa,ocupa2,NSE,NSE1,NSE2,P01,P02,P02a,P03,P03a,P05,P05a,P06,P06a,P07,P08,P09,P09a,P10,P12,p12a,P13,P14,P15,yhogar,yhogar_pc1,yhogar_pc2,P16,P16a,P16b,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P28a,P29,P29a,P30,P30a,P32,P32a,P33,P34,P35,P36,P37,P37otros,P37a,P37b,P38,P38a,P38b,etnicidad,etnicidad2,lengua,lengua2,ideología,ideología2
203204377,0.874398828,47,3,2,10,1001,100101,3,6,2,,,2,1,2,7,2,4,1,1,1,1,1,1,8,1,7,4,3,1,8,3,5,2,10,3,10,3,4,1,4,1,4,3,2,1,,1000,1,142.86,1,4,2,3,2,1,1,2,1,99,1,1,1,1,1,10,3,10,3,10,3,5,2,2,2,2,2,2,"",2,2,1,1,1,3,3,1,1,5,2
203203954,1.059997199,19,1,1,4,401,40107,4,7,2,,,2,1,2,4,2,8,2,9,2,7,2,2,3,1,6,3,2,3,7,3,9,3,8,3,10,3,4,1,4,1,2,3,2,2,,3000,3,750,3,1,1,1,1,2,1,2,2,3,2,1,2,2,1,10,3,8,3,7,3,9,3,2,2,2,2,2,"",2,2,8,3,3,2,2,7,2,4,1
203203951,0.874398828,40,3,2,12,1205,120501,3,6,2,,,2,1,2,4,2,5,1,3,1,3,1,1,1,1,7,4,3,3,7,3,8,3,3,1,5,2,1,3,2,2,2,3,2,3,,1200,2,300,1,4,2,3,3,3,1,4,3,2,3,1,3,1,1,8,3,3,1,8,3,6,2,2,2,2,2,1,"",1,1,6,2,2,2,2,7,2,5,2
203203818,0.874398828,47,3,2,23,2301,230101,4,4,2,,,1,1,2,3,1,5,1,5,1,5,1,1,6,2,5,3,2,3,10,3,5,2,8,3,2,1,4,1,3,1,5,3,2,3,1,1500,2,500,2,2,1,1,1,2,1,2,2,2,2,1,1,2,1,9,3,10,3,5,2,8,3,2,2,2,2,2,"",2,2,4,1,1,2,2,7,2,5,2
203203141,0.860527929,25,2,2,3,301,30101,4,7,2,,,2,1,2,4,1,5,1,5,1,5,1,1,1,1,7,4,3,3,3,1,6,2,5,2,4,1,4,2,4,1,5,3,2,2,2,600,1,150,1,2,1,1,3,1,2,2,1,1,2,1,1,1,1,7,3,7,3,8,3,4,1,2,2,2,1,77,DELINCUENCIA,4,4,5,2,2,2,2,7,2,6,2
203202980,1.390799054,20,1,2,4,401,40101,4,7,2,,,2,2,3,3,2,10,2,7,2,5,1,2,7,2,7,4,3,3,10,3,1,1,1,1,10,3,4,1,4,1,3,3,2,2,,3000,3,1000,4,3,2,2,2,1,1,2,2,2,1,2,1,1,1,1,1,1,1,10,3,10,3,1,2,2,2,6,"",5,5,10,3,3,1,1,7,2,1,1
203202798,0.906404751,52,3,1,8,805,80505,4,7,2,,,2,1,2,4,2,7,2,99,99,3,1,1,1,1,5,3,2,3,1,1,1,1,3,1,7,3,3,99,3,1,3,2,2,1,,1500,2,375,2,2,1,1,2,2,4,4,4,99,3,2,3,2,1,,,8,3,10,3,8,3,2,2,1,2,3,"",3,3,3,1,1,1,1,7,2,8,3
203202740,0.860527929,37,2,2,5,504,50401,4,7,2,,,2,1,2,5,1,7,2,7,2,6,2,2,6,2,6,3,2,5,6,2,6,2,7,3,5,2,4,1,3,1,3,3,2,3,1,2500,3,500,2,3,2,2,4,3,1,2,4,2,2,2,1,2,1,5,2,8,3,8,3,8,3,2,2,2,2,3,"",3,3,6,2,2,98,4,7,2,1,1
203202727,1.170407903,27,2,2,3,302,30202,4,7,2,,,2,2,3,6,1,5,1,2,1,6,2,2,8,1,7,4,3,3,4,1,7,3,6,2,4,1,2,1,3,1,1,4,3,1,1,2000,2,333.33,2,4,2,3,2,2,1,2,4,4,1,1,3,1,1,10,3,7,3,7,3,8,3,2,2,2,1,2,"",2,2,3,1,1,2,2,7,2,6,2
203202538,1.170407903,36,2,2,12,1201,120101,3,6,2,,,2,2,3,4,1,7,2,5,1,5,1,1,1,1,6,3,2,3,8,3,5,2,8,3,10,3,4,2,3,1,2,3,2,1,1,3000,3,750,3,2,1,1,3,2,2,2,3,2,3,2,3,2,1,10,3,10,3,1,1,1,1,2,2,1,2,4,"",4,4,1,1,1,2,2,7,2,10,3
203202435,0.906404751,47,3,1,4,402,40201,4,4,2,,,1,1,2,4,2,7,2,5,1,5,1,1,1,1,6,3,2,4,4,1,5,2,8,3,5,2,4,2,3,1,5,3,2,1,,2500,3,625,3,2,1,1,2,2,2,3,2,2,2,2,2,1,1,6,2,5,2,6,2,7,3,2,2,2,2,77,COMBATIR A LA POBREZA,3,3,5,2,2,2,2,7,2,6,2
203202324,0.892026131,37,2,1,4,401,40101,4,7,2,,,2,1,2,4,2,7,2,10,2,10,2,2,1,1,2,1,1,3,1,1,1,1,1,1,10,3,4,3,1,2,1,3,2,2,,2500,3,625,3,2,1,1,4,4,1,4,4,4,1,1,1,1,1,1,1,10,3,1,1,10,3,2,1,1,2,1,"",1,1,1,1,1,1,1,7,2,5,2
