ubigeo,departamento,provincia,distrito,region,macroregion_inei,macroregion_minsa,pct_pobreza_total,pct_pobreza_extrema
010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,AMAZONAS,ORIENTE,MACROREGION ORIENTE,9.034625,1.439875
010102,AMAZONAS,CHACHAPOYAS,ASUNCION,AMAZONAS,ORIENTE,MACROREGION ORIENTE,36.519949,15.68075
010103,AMAZONAS,CHACHAPOYAS,BALSAS,AMAZONAS,ORIENTE,MACROREGION ORIENTE,45.732962,15.42712
010104,AMAZONAS,CHACHAPOYAS,CHETO,AMAZONAS,ORIENTE,MACROREGION ORIENTE,39.169782,23.67841
010105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,AMAZONAS,ORIENTE,MACROREGION ORIENTE,53.045662,36.39537
010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,AMAZONAS,ORIENTE,MACROREGION ORIENTE,51.607832,43.78883
010107,AMAZONAS,CHACHAPOYAS,GRANADA,AMAZONAS,ORIENTE,MACROREGION ORIENTE,43.865957,5.943345
010108,AMAZONAS,CHACHAPOYAS,HUANCAS,AMAZONAS,ORIENTE,MACROREGION ORIENTE,31.977312,12.50203
010109,AMAZONAS,CHACHAPOYAS,LA JALCA,AMAZONAS,ORIENTE,MACROREGION ORIENTE,47.947723,28.35085
010110,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,AMAZONAS,ORIENTE,MACROREGION ORIENTE,25.741684,15.19174
010111,AMAZONAS,CHACHAPOYAS,LEVANTO,AMAZONAS,ORIENTE,MACROREGION ORIENTE,41.081444,24.37787
010112,AMAZONAS,CHACHAPOYAS,MAGDALENA,AMAZONAS,ORIENTE,MACROREGION ORIENTE,30.634088,20.61026
010113,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,AMAZONAS,ORIENTE,MACROREGION ORIENTE,39.230882,18.90431
010114,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,AMAZONAS,ORIENTE,MACROREGION ORIENTE,35.654304,25.45505
010115,AMAZONAS,CHACHAPOYAS,MONTEVIDEO,AMAZONAS,ORIENTE,MACROREGION ORIENTE,38.644489,10.08896
010116,AMAZONAS,CHACHAPOYAS,OLLEROS,AMAZONAS,ORIENTE,MACROREGION ORIENTE,47.9082,2.628461
010117,AMAZONAS,CHACHAPOYAS,QUINJALCA,AMAZONAS,ORIENTE,MACROREGION ORIENTE,47.119202,19.34588
010118,AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS,AMAZONAS,ORIENTE,MACROREGION ORIENTE,29.704094,7.683372
